Perfil Twitter,Mensagem de Erro,Análise Total,Análise Amigos,Análise Temporal,Análise Rede,Análise Sentimento,URL do Perfil,Avatar do Perfil,ID do Usuário,Nome do Usuário,Criação da conta,Seguindo,Seguidores,Número de Tweets,Hashtags Recentes,Menções Recentes,Usou Cache
JonasXa71082199,,99.79,,,,,,,,,,,,,,,
MarcosT67803558,,99.78,,,,,,,,,,,,,,,
MarcosR07128215,,99.73,,,,,,,,,,,,,,,
Att40503084,,99.64,,,,,,,,,,,,,,,
rjarilho,,99.64,,,,,,,,,,,,,,,
VitorFw1308,,99.43,,,,,,,,,,,,,,,
SimonepbiSimone,,99.43,,,,,,,,,,,,,,,
FlavioF02702910,,99.43,,,,,,,,,,,,,,,
Fernand17848676,,99.34,,,,,,,,,,,,,,,
Meruem93004276,,99.31,,,,,,,,,,,,,,,
soniamsp_,,99.28,,,,,,,,,,,,,,,
claudioirisyah1,,99.27,,,,,,,,,,,,,,,
Welling58521132,,99.24,,,,,,,,,,,,,,,
Cassio85939815,,99.21,,,,,,,,,,,,,,,
Fcdapamela,,99.18,,,,,,,,,,,,,,,
Juliana110174,,99.11,,,,,,,,,,,,,,,
Vanda_SEP,,99.09,,,,,,,,,,,,,,,
CELSORICARDOLo8,,99.08,,,,,,,,,,,,,,,
xaconha,,99.08,,,,,,,,,,,,,,,
Iris05087046,,99.08,,,,,,,,,,,,,,,
simoneM34592853,,99.05,,,,,,,,,,,,,,,
WilbertAilton,,99.02,,,,,,,,,,,,,,,
marcosmach52,,99.02,,,,,,,,,,,,,,,
arsol2018,,98.98,,,,,,,,,,,,,,,
Renato02102022,,98.98,,,,,,,,,,,,,,,
lo98357427,,98.96,,,,,,,,,,,,,,,
JBrasil20133,,98.96,,,,,,,,,,,,,,,
LucasCu70242887,,98.96,,,,,,,,,,,,,,,
Oliveir64781711,,98.95,,,,,,,,,,,,,,,
Lindoma15843844,,98.95,,,,,,,,,,,,,,,
Edilene94736110,,98.86,,,,,,,,,,,,,,,
EversonPFF,,98.86,,,,,,,,,,,,,,,
ademirj41480952,,98.84,,,,,,,,,,,,,,,
Rodrigo18637365,,98.84,,,,,,,,,,,,,,,
BC_Dutra,,98.82,,,,,,,,,,,,,,,
Bianca24805546,,98.77,,,,,,,,,,,,,,,
AAdemirla,,98.77,,,,,,,,,,,,,,,
LigiaGuerra7,,98.76,,,,,,,,,,,,,,,
2Kellynda5,,98.75,,,,,,,,,,,,,,,
edishi62,,98.75,,,,,,,,,,,,,,,
